Round,Accuracy,Precision,Recall,F1
43,0.9908524307220252,0.9859228794612052,0.9877222575560656,0.9868217482594762
43,0.9908428420749832,0.9863586054233536,0.987205405854496,0.986781823969882
44,0.9918784938297648,0.9893070291777188,0.9873155935474976,0.9883103081827844
44,0.990967494486528,0.9871642369083516,0.98678207007162,0.9869731164951876
44,0.9913030971329946,0.9882656458055924,0.986596139466615,0.9874301869534488
45,0.9919456137154692,0.9893361328286876,0.9874810423273128,0.9884077171482984
45,0.9911017355451146,0.9873039581777446,0.9870309432292674,0.9871674318269816
45,0.9913222744270784,0.9881579677186756,0.9867623030269462,0.9874596422187426
46,0.9919168480501672,0.9893082108520278,0.9874258927340412,0.9883661555871436
46,0.9910346150158212,0.9871936715162914,0.9869479855100516,0.987070813225106
46,0.9913222744270784,0.9882121262550618,0.9867069151735024,0.9874589471058576
47,0.9919456137154692,0.9894172584344174,0.9873983179374052,0.9884067572043724
47,0.9910154377217376,0.987354731599336,0.9867267649254764,0.9870406483825014
47,0.9912551538977852,0.9882640179785256,0.9864576698330056,0.987360017740326
48,0.9919935564909724,0.9894187203005858,0.9875361919205846,0.9884765598045844
48,0.9911113241921564,0.9873312679796415,0.9870309432292674,0.9871810827629124
48,0.9913798063093298,0.9882411670087082,0.9868453848071118,0.98754278271232
49,0.9919743793807712,0.9893910929384462,0.9875086171239488,0.9884489587502242
49,0.9911113241921564,0.9872773536895676,0.9870862483754114,0.9871817917836252
49,0.9913798063093298,0.9882411670087082,0.9868453848071118,0.98754278271232
50,0.9917826082787584,0.9892770285208932,0.9870674203777748,0.9881709892476088
50,0.9908428420749832,0.9872135503155098,0.9863672814755412,0.9867902344560482
50,0.9911017355451146,0.9882046015930728,0.9860699548588996,0.9871361242029388
